company,title,salary,location,submit date,start date
RIVIAN AUTOMOTIVE LLC,"TECHNICAL LEAD, WIRELESS SYSTEMS","184,000","SAN JOSE, CA",05/04/2021,10/29/2021
RIVIAN AUTOMOTIVE LLC,"TECHNICAL MANAGER, DRIVELINE SYSTEMS","210,000","IRVINE, CA",08/09/2021,08/23/2021
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER,"119,910","IRVINE, CA",03/04/2024,08/26/2024
RIVIAN LLC,TECHNICAL PROGRAM MANAGER,"120,000","IRVINE, CA",04/07/2023,10/01/2023
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER,"125,000","IRVINE, CA",07/27/2021,08/09/2021
RIVIAN LLC,TECHNICAL PROGRAM MANAGER,"125,000","IRVINE, CA",11/24/2021,12/06/2021
RIVIAN LLC,TECHNICAL PROGRAM MANAGER,"130,000","IRVINE, CA",04/23/2024,10/01/2024
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER,"130,000","PLYMOUTH, MI",03/13/2020,03/20/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER,"170,000","TUSTIN, CA",10/27/2020,11/02/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER,"170,000","TUSTIN, CA",10/27/2020,11/02/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER - FUNCTIONAL SAFETY,"165,000","PALO ALTO, CA",03/24/2021,03/29/2021
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER - FUNCTIONAL SAFETY,"165,000","PALO ALTO, CA",03/24/2021,03/29/2021
RIVIAN AUTOMOTIVE LLC,"TECHNICAL PROGRAM MANAGER, BODY CONTROLS","170,000","IRVINE, CA",11/13/2020,11/23/2020
RIVIAN AUTOMOTIVE LLC,"TECHNICAL PROGRAM MANAGER, BODY CONTROLS","183,021","IRVINE, CA",05/24/2023,11/21/2023
RIVIAN AUTOMOTIVE LLC,"TECHNICAL PROGRAM MANAGER, CHASSIS","157,903","IRVINE, CA",06/08/2021,06/14/2021
RIVIAN AUTOMOTIVE LLC,"TECHNICAL PROGRAM MANAGER, SYSTEM INTEGRATION","165,000","PALO ALTO, CA",05/12/2021,05/24/2021
RIVIAN AUTOMOTIVE LLC,"TECHNICAL PROGRAM MANAGER, SYSTEM INTEGRATION","165,000","PALO ALTO, CA",05/12/2021,05/24/2021
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROGRAM MANAGER- DC FLEET CHARGING PRODUCTS,"160,000","CARSON, CA",05/18/2021,05/24/2021
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROJECT MANAGER,"125,000","SAN JOSE, CA",03/30/2020,09/17/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROJECT MANAGER,"125,000","SAN JOSE, CA",03/30/2020,09/17/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROJECT MANAGER,"130,000","SAN JOSE, CA",03/27/2020,09/15/2020
RIVIAN AUTOMOTIVE LLC,TECHNICAL PROJECT MANAGER,"151,410","PALO ALTO, CA",06/21/2024,09/30/2024
RIVIAN AUTOMOTIVE LLC,TECHNICAL RECRUITER,"125,000","SAN JOSE, CA",03/05/2019,08/24/2019
RIVIAN AUTOMOTIVE LLC,"TEST & INTEGRATION ENGINEER, THERMAL FIRMWARE","120,000","IRVINE, CA",01/14/2021,01/19/2021
RIVIAN AUTOMOTIVE LLC,TEST & VALIDATION ENGINEER - ADAS,"130,000","SAN JOSE, CA",11/25/2019,12/02/2019
RIVIAN AUTOMOTIVE LLC,TEST AND VALIDATION ENGINEER,"137,700","IRVINE, CA",04/15/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TEST AUTOMATION SYSTEMS ARCHITECT,"228,124","PALO ALTO, CA",08/05/2021,08/16/2021
RIVIAN AUTOMOTIVE LLC,TEST ENGINEER,"125,000","PALO ALTO, CA",04/21/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TEST ENGINEER,"140,000","SAN JOSE, CA",11/25/2019,12/02/2019
RIVIAN AUTOMOTIVE LLC,TEST ENGINEER,"160,000","PALO ALTO, CA",11/15/2021,11/29/2021
RIVIAN AUTOMOTIVE LLC,"TEST ENGINEER II, POWERTRAIN","108,000","TUSTIN, CA",04/22/2024,10/01/2024
RIVIAN AUTOMOTIVE LLC,"TEST INTEGRATION ENGINEER, VEHICLE CONTROLS","146,300","IRVINE, CA",10/13/2021,10/25/2021
RIVIAN AUTOMOTIVE LLC,"TEST VALIDATION ENGINEER II, SELF-DRIVING","130,000","PALO ALTO, CA",12/12/2022,12/19/2022
RIVIAN AUTOMOTIVE LLC,THERMAL ANALYSIS ENGINEER,"125,000","IRVINE, CA",02/02/2021,02/15/2021
RIVIAN AUTOMOTIVE LLC,THERMAL ANALYSIS ENGINEER - LIGHTING,"145,000","IRVINE, CA",07/26/2021,08/02/2021
RIVIAN AUTOMOTIVE LLC,THERMAL CONTROLS ENGINEER,"139,000","TUSTIN, CA",04/22/2024,10/01/2024
RIVIAN AUTOMOTIVE LLC,THERMAL DEVELOPMENT AND ANALYSIS ENGINEER,"100,095","TUSTIN, CA",04/12/2024,10/01/2024
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN & RELEASE ENGINEER,"125,000","PLYMOUTH, MI",09/19/2019,09/30/2019
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN & RELEASE ENGINEER,"155,000","TUSTIN, CA",10/07/2020,10/07/2020
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN & RELEASE ENGINEER,"160,000","IRVINE, CA",07/19/2022,08/01/2022
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN & RELEASE ENGINEER,"160,425","IRVINE, CA",07/19/2022,08/01/2022
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN & RELEASE ENGINEER,"160,425","IRVINE, CA",07/19/2022,08/01/2022
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN RELEASE ENGINEER,"120,000","PLYMOUTH, MI",02/12/2020,02/19/2020
RIVIAN AUTOMOTIVE LLC,THERMAL INTEGRATION DESIGN RELEASE ENGINEER,"145,000","TUSTIN, CA",11/02/2020,12/07/2020
RIVIAN AUTOMOTIVE LLC,THERMAL SYSTEM INTEGRATION & RELEASE ENGINEER,"90,950","PLYMOUTH, MI",01/07/2019,06/06/2019
RIVIAN AUTOMOTIVE LLC,THERMAL SYSTEM INTEGRATION LEAD,"155,000","TUSTIN, CA",10/07/2020,01/14/2021
RIVIAN AUTOMOTIVE LLC,THERMAL SYSTEM INTEGRATION LEAD,"155,000","TUSTIN, CA",10/07/2020,01/14/2021
RIVIAN AUTOMOTIVE LLC,THERMAL SYSTEMS ENGINEER,"170,000","PALO ALTO, CA",11/25/2020,12/11/2020
RIVIAN AUTOMOTIVE LLC,THERMAL SYSTEMS SIMULATION ENGINEER,"110,000","PLYMOUTH, MI",11/12/2018,03/08/2019
RIVIAN AUTOMOTIVE LLC,THERMAL TEST ENGINEER II,"108,150","IRVINE, CA",04/08/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,"TOOL & DIE TECHNICIAN III, STAMPING","72,280","NORMAL, IL",04/23/2024,10/01/2024
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER,"84,000","IRVINE, CA",01/19/2022,02/28/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER,"84,000","IRVINE, CA",01/09/2023,01/23/2023
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER,"89,600","IRVINE, CA",08/20/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER - II MECHANICAL RELEASE ENGINEER,"97,000","IRVINE, CA",04/14/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER - II MECHANICAL RELEASE ENGINEER,"97,000","IRVINE, CA",04/14/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"82,400","PLYMOUTH, MI",08/16/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"82,400","IRVINE, CA",08/18/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"84,000","NORMAL, IL",08/12/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"94,000","NORMAL, IL",08/16/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"95,000","IRVINE, CA",08/17/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"95,000","IRVINE, CA",08/17/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/14/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/15/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/11/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/14/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/15/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/15/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",12/20/2022,01/09/2023
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,000","IRVINE, CA",04/11/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,290","IRVINE, CA",06/03/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,290","IRVINE, CA",06/03/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,375","IRVINE, CA",12/20/2022,12/26/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"97,375","IRVINE, CA",04/12/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"98,400","NORMAL, IL",04/08/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"98,880","NORMAL, IL",12/06/2021,12/20/2021
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"102,500","IRVINE, CA",04/12/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRAIL ENGINEER II,"104,000","IRVINE, CA",04/14/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,TRANSFER PRICING MANAGER,"118,000","PLYMOUTH, MI",01/22/2021,02/01/2021
RIVIAN AUTOMOTIVE LLC,TRANSFER PRICING MANAGER,"130,359","PLYMOUTH, MI",07/20/2023,01/17/2024
RIVIAN LLC,TRANSFER PRICING MANAGER,"130,359","PLYMOUTH, MI",08/15/2023,01/17/2024
RIVIAN AUTOMOTIVE LLC,"TRIAGE SOFTWARE DEFECTS MANAGER, SELF-DRIVING","185,000","PALO ALTO, CA",07/11/2022,07/25/2022
RIVIAN AUTOMOTIVE LLC,UNDERBODY DESIGN & RELEASE ENGINEER,"102,559","PLYMOUTH, MI",01/24/2020,04/24/2020
RIVIAN AUTOMOTIVE LLC,UPPER BODY STRUCTURE DESIGN AND RELEASE ENGINEER,"120,897","IRVINE, CA",04/01/2021,05/07/2021
RIVIAN AUTOMOTIVE LLC,UPPERBODY STRUCTURES ENGINEER,"123,600","PLYMOUTH, MI",03/26/2020,08/28/2020
RIVIAN AUTOMOTIVE LLC,UX DESIGNER,"150,000","PALO ALTO, CA",06/03/2020,06/15/2020
RIVIAN AUTOMOTIVE LLC,VALIDATION ENGINEER,"80,000","PLYMOUTH, MI",03/24/2020,09/10/2020
RIVIAN AUTOMOTIVE LLC,VALIDATION ENGINEER,"84,000","TUSTIN, CA",07/19/2021,07/26/2021
RIVIAN AUTOMOTIVE LLC,VALIDATION ENGINEER,"115,000","IRVINE, CA",04/30/2021,10/01/2021
RIVIAN AUTOMOTIVE LLC,VALIDATION ENGINEER II,"111,384","TUSTIN, CA",01/11/2024,07/07/2024
RIVIAN AUTOMOTIVE LLC,"VALIDATION SPECIALIST, SYSTEM DYNAMICS","150,000","PALO ALTO, CA",03/17/2021,03/25/2021
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS INTEGRATION & TEST ENGINEER,"90,000","IRVINE, CA",03/23/2020,09/04/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS INTEGRATION ENGINEER,"125,000","IRVINE, CA",03/19/2020,03/23/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS TEST & INTEGRATION ENGINEER,"148,000","IRVINE, CA",09/30/2022,03/31/2023
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS TEST AND INTEGRATION ENGINEER,"145,000","IRVINE, CA",03/30/2020,04/06/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS VALIDATION ENGINEER,"115,000","IRVINE, CA",11/12/2019,11/18/2019
RIVIAN AUTOMOTIVE LLC,VEHICLE CONTROLS VALIDATION ENGINEER,"122,000","IRVINE, CA",10/07/2019,10/14/2019
RIVIAN AUTOMOTIVE LLC,VEHICLE CRASH SAFETY TEST ENGINEER,"80,000","PLYMOUTH, MI",03/23/2020,09/09/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE CRASH SAFETY TEST ENGINEER,"91,000","PLYMOUTH, MI",12/19/2019,12/30/2019
RIVIAN AUTOMOTIVE LLC,VEHICLE DYNAMICS ENGINEER,"135,000","IRVINE, CA",02/13/2020,02/18/2020
RIVIAN AUTOMOTIVE LLC,"VEHICLE DYNAMICS ENGINEER II, DRIVABILITY","121,000","IRVINE, CA",08/10/2023,10/01/2023
RIVIAN AUTOMOTIVE LLC,VEHICLE EFFICIENCY & PROPULSION SIM LEAD,"128,700","IRVINE, CA",06/15/2021,06/28/2021
RIVIAN AUTOMOTIVE LLC,VEHICLE EFFICIENCY & PROPULSION SIMULATION LEAD,"114,400","PLYMOUTH, MI",01/04/2021,05/14/2021
RIVIAN AUTOMOTIVE LLC,VEHICLE FUNCTIONAL SAFETY ENGINEER,"165,000","SAN JOSE, CA",07/10/2020,07/13/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE FUNCTIONAL SAFETY ENGINEER,"165,000","SAN JOSE, CA",07/10/2020,07/13/2020
RIVIAN AUTOMOTIVE LLC,"VEHICLE INTEGRATION & TEST ENGINEER II, RIVIAN","140,000","IRVINE, CA",04/22/2022,05/09/2022
RIVIAN AUTOMOTIVE LLC,VEHICLE LINE DIRECTOR,"210,000","PLYMOUTH, MI",03/27/2020,09/26/2020
RIVIAN AUTOMOTIVE LLC,VEHICLE PROTOTYPE TEST PLAN COORDINATOR,"100,000","IRVINE, CA",02/04/2019,02/25/2019
RIVIAN AUTOMOTIVE LLC,VEHICLE PROTOTYPE TEST PLAN COORDINATOR,"110,000","IRVINE, CA",09/24/2021,02/25/2022
RIVIAN AUTOMOTIVE LLC,VEHICLE PROTOTYPE TEST PLAN COORDINATOR,"110,000","IRVINE, CA",09/23/2021,10/04/2021
RIVIAN AUTOMOTIVE LLC,VEHICLE TEST ENGINEER - INFOTAINMENT AND CONNECTIVITY,"150,000","PALO ALTO, CA",09/18/2020,09/28/2020
RIVIAN AUTOMOTIVE LLC,VICE PRESIDENT OF PROPULSION,"412,000","TUSTIN, CA",04/12/2022,10/01/2022
RIVIAN AUTOMOTIVE LLC,VIRTUAL ENGINEER II,"115,000","PLYMOUTH, MI",12/08/2021,12/20/2021
RIVIAN AUTOMOTIVE LLC,VIRTUAL ENGINEER II,"120,175","PLYMOUTH, MI",05/09/2024,05/20/2024
RIVIAN AUTOMOTIVE LLC,VP OF MANUFACTURING ENGINEERING,"350,175","NORMAL, IL",12/19/2023,05/31/2024
RIVIAN AUTOMOTIVE LLC,VP â COMMERCIAL VEHICLE PROGRAMS,"347,288","IRVINE, CA",07/12/2023,11/27/2023
RIVIAN AUTOMOTIVE LLC,WEB DEVELOPMENT ENGINEER,"115,000","SAN JOSE, CA",04/02/2020,08/28/2020
RIVIAN AUTOMOTIVE LLC,WEB DEVELOPMENT ENGINEER,"115,000","SAN JOSE, CA",04/02/2020,08/28/2020
RIVIAN AUTOMOTIVE LLC,WEIGHT MANAGEMENT ENGINEER,"110,000","IRVINE, CA",01/06/2021,01/18/2021
ROMEO SYSTEMS INC,BATTERY CELL ENGINEER,"110,000","MILLBRAE, CA",05/24/2021,10/01/2021
ROMEO SYSTEMS INC,BATTERY CELL ENGINEER,"110,000","MILLBRAE, CA",05/24/2021,10/01/2021
ROMEO SYSTEMS INC,BATTERY CONTROLS ENGINEER,"92,500","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,BATTERY CONTROLS ENGINEER,"92,500","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,BATTERY CONTROLS ENGINEER,"117,500","VERNON, CA",05/04/2020,10/01/2020
ROMEO SYSTEMS INC,BATTERY CONTROLS ENGINEER,"117,500","VERNON, CA",05/04/2020,10/01/2020
ROMEO SYSTEMS INC,BATTERY MACHINE LEARNING ENGINEER  DATA SCIENTIST,"150,000","VERNON, CA",05/19/2022,10/01/2022
ROMEO SYSTEMS INC,DIRECTOR OF STRATEGIC FINANCE AND BUSINESS OPERATIONS,"170,000","VERNON, CA",07/22/2020,07/29/2020
ROMEO SYSTEMS INC,"DIRECTOR, BATTERY SIMULATION, THERMAL ENG. & SYS. INTEGRITY","240,000","CYPRESS, CA",08/01/2022,10/25/2022
ROMEO SYSTEMS INC,"DIRECTOR, BATTERY SIMULATION, THERMAL ENG. & SYS. INTEGRITY","240,000","CYPRESS, CA",08/01/2022,10/25/2022
ROMEO SYSTEMS INC,"DIRECTOR, MANUFACTURING ENGINEERING","200,000","VERNON, CA",10/26/2018,11/21/2018
ROMEO SYSTEMS INC,ELECTRICAL SYSTEMS INTEGRATION ENGINEER,"120,000","VERNON, CA",10/07/2020,10/20/2020
ROMEO SYSTEMS INC,ELECTRONICS ENGINEER,"115,000","VERNON, CA",02/26/2020,03/02/2020
ROMEO SYSTEMS INC,EMBEDDED SOFTWARE ENGINEER,"130,000","VERNON, CA",05/13/2022,10/01/2022
ROMEO SYSTEMS INC,EMBEDDED SOFTWARE ENGINEER,"130,000","VERNON, CA",05/13/2022,10/01/2022
ROMEO SYSTEMS INC,GLOBAL PROCUREMENT SPECIALIST,"90,000","VERNON, CA",09/07/2021,10/01/2021
ROMEO SYSTEMS INC,LEAD EMBEDDED SYSTEMS ENGINEER,"175,000","VERNON, CA",10/23/2020,11/03/2020
ROMEO SYSTEMS INC,"LEAD MECHANICAL ENGINEER, STRUCTURES","125,818","CYPRESS, CA",08/01/2022,09/19/2022
ROMEO SYSTEMS INC,LEAD SYSTEMS ENGINEER,"170,000","VERNON, CA",01/15/2021,01/25/2021
ROMEO SYSTEMS INC,"MANAGER, ELECTRICAL ENGINEER","180,015","VERNON, CA",08/06/2021,09/08/2021
ROMEO SYSTEMS INC,"MANAGER, EMBEDDED SOFTWARE","165,850","VERNON, CA",01/28/2020,05/15/2020
ROMEO SYSTEMS INC,"MANAGER, FUNCTIONAL SAFETY ENGINEERING","130,000","VERNON, CA",09/07/2021,10/01/2021
ROMEO SYSTEMS INC,"MANAGER, SYSTEMS ENGINEERING","210,000","VERNON, CA",04/02/2021,04/19/2021
ROMEO SYSTEMS INC,"MANUFACTURING ENGINEER, SUSTAINING","110,000","VERNON, CA",10/30/2020,11/09/2020
ROMEO SYSTEMS INC,"MANUFACTURING ENGINEER, SUSTAINING","110,000","VERNON, CA",10/30/2020,11/09/2020
ROMEO SYSTEMS INC,"MANUFACTURING ENGINEER, TEST","102,000","VERNON, CA",05/13/2022,10/01/2022
ROMEO SYSTEMS INC,MASTER SCHEDULER,"114,660","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,MATERIALS PLANNER,"65,561","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,MECHANICAL ENGINEER,"77,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,MECHANICAL ENGINEER,"80,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,MECHANICAL ENGINEER,"94,500","VERNON, CA",09/07/2021,10/01/2021
ROMEO SYSTEMS INC,MECHANICAL ENGINEER,"94,500","VERNON, CA",09/07/2021,10/01/2021
ROMEO SYSTEMS INC,PROGRAM MANAGER,"125,000","VERNON, CA",09/04/2020,10/12/2020
ROMEO SYSTEMS INC,PROJECT ENGINEER,"75,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,SENIOR ELECTRICAL SYSTEMS ENGINEER,"137,280","VERNON, CA",09/12/2019,10/01/2019
ROMEO SYSTEMS INC,SENIOR EMBEDDED SOFTWARE ENGINEER,"154,500","VERNON, CA",08/20/2021,11/12/2021
ROMEO SYSTEMS INC,SENIOR EMBEDDED SOFTWARE ENGINEER,"154,500","VERNON, CA",08/06/2021,11/12/2021
ROMEO SYSTEMS INC,SENIOR FIRMWARE ENGINEER,"125,000","VERNON, CA",10/29/2018,11/12/2018
ROMEO SYSTEMS INC,SENIOR GLOBAL SUPPLY MANAGER,"170,000","VERNON, CA",05/24/2021,06/01/2021
ROMEO SYSTEMS INC,SENIOR MECHANICAL ENGINEER,"130,000","VERNON, CA",01/15/2021,02/15/2021
ROMEO SYSTEMS INC,SENIOR QUALITY ENGINEER,"110,000","VERNON, CA",09/04/2020,10/01/2020
ROMEO SYSTEMS INC,SENIOR QUALITY ENGINEER,"110,000","VERNON, CA",09/04/2020,10/01/2020
ROMEO SYSTEMS INC,SENIOR QUALITY ENGINEER,"115,000","VERNON, CA",09/04/2020,09/14/2020
ROMEO SYSTEMS INC,SENIOR QUALITY SYSTEMS ENGINEER,"130,000","VERNON, CA",04/02/2021,04/19/2021
ROMEO SYSTEMS INC,SENIOR QUALITY SYSTEMS ENGINEER,"130,000","VERNON, CA",04/02/2021,04/19/2021
ROMEO SYSTEMS INC,SENIOR SUPPLIER QUALITY ENGINEER,"115,000","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,SENIOR SUPPLIER QUALITY ENGINEER,"115,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,SENIOR SUPPLIER QUALITY ENGINEER,"115,000","VERNON, CA",02/08/2021,03/01/2021
ROMEO SYSTEMS INC,SENIOR SYSTEMS VALIDATION ENGINEER,"150,000","VERNON, CA",12/01/2021,12/13/2021
ROMEO SYSTEMS INC,SENIOR SYSTEMS VALIDATION ENGINEER,"160,000","VERNON, CA",07/29/2021,08/02/2021
ROMEO SYSTEMS INC,SENIOR SYSTEMS VALIDATION ENGINEER,"165,000","VERNON, CA",06/21/2021,08/01/2021
ROMEO SYSTEMS INC,SOFTWARE ENGINEER,"75,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,SOFTWARE ENGINEER,"76,000","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,"SR. MANAGER, THERMAL ENGINEERING","162,000","VERNON, CA",10/30/2019,11/01/2019
ROMEO SYSTEMS INC,STRESS ENGINEER,"85,000","VERNON, CA",09/04/2020,10/01/2020
ROMEO SYSTEMS INC,STRESS ENGINEER,"95,000","VERNON, CA",07/07/2021,08/02/2021
ROMEO SYSTEMS INC,STRESS ENGINEER,"95,000","VERNON, CA",07/07/2021,08/02/2021
ROMEO SYSTEMS INC,SUPPLIER DEVELOPMENT ENGINEER,"110,000","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,"SUPPLIER DEVELOPMENT ENGINEER, MECHANICAL","120,000","VERNON, CA",01/25/2022,02/01/2022
ROMEO SYSTEMS INC,"SUPPLIER DEVELOPMENT ENGINEER, MECHANICAL","120,000","VERNON, CA",01/25/2022,02/01/2022
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"90,000","VERNON, CA",04/30/2020,10/01/2020
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"112,000","VERNON, CA",03/01/2021,03/29/2021
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"115,500","VERNON, CA",05/24/2021,10/01/2021
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"115,500","VERNON, CA",06/21/2021,10/01/2021
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"125,000","VERNON, CA",10/11/2021,10/18/2021
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"125,000","VERNON, CA",10/11/2021,10/18/2021
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"126,000","CYPRESS, CA",05/25/2023,10/01/2023
ROMEO SYSTEMS INC,SYSTEMS ENGINEER,"126,000","COSTA MESA, CA",05/25/2023,10/01/2023
ROMEO SYSTEMS INC,SYSTEMS VALIDATION ENGINEER,"125,000","VERNON, CA",08/24/2021,09/06/2021
ROMEO SYSTEMS INC,SYSTEMS VALIDATION ENGINEER,"125,000","VERNON, CA",08/24/2021,09/06/2021
ROMEO SYSTEMS INC,THERMAL ENGINEER,"70,000","VERNON, CA",03/20/2019,09/19/2019
ROMEO SYSTEMS INC,VIBRATION TEST ENGINEER,"110,000","VERNON, CA",09/07/2021,10/01/2021
ROMEO SYSTEMS INC,VIBRATION TEST ENGINEER,"110,000","VERNON, CA",09/07/2021,10/01/2021
SAMSUNG SDI AMERICA INC,BUSINESS INTELLIGENCE ANALYST,"79,685","AUBURN HILLS, MI",08/24/2023,10/01/2023
SAMSUNG SDI AMERICA INC,DATA SCIENTIST,"79,685","AUBURN HILLS, MI",08/24/2023,10/01/2023
SAMSUNG SDI AMERICA INC,ELECTRICAL CONTROLS ENGINEERS,"97,462","AUBURN HILLS, MI",07/13/2020,10/02/2020
SAMSUNG SDI AMERICA INC,ENGINEERING MANAGER - SYSTEMS,"143,000","AUBURN HILLS, MI",06/15/2023,08/01/2023
SAMSUNG SDI AMERICA INC,"ENVIRONMENTAL, HEALTH AND SAFETY COORDINATOR","58,995","AUBURN HILLS, MI",05/08/2024,10/28/2024
SAMSUNG SDI AMERICA INC,FIELD APPLICATION ENGINEER,"90,000","AUBURN HILLS, MI",11/01/2021,11/01/2021
SAMSUNG SDI AMERICA INC,FIELD APPLICATION ENGINEER,"160,000","SAN JOSE, CA",03/25/2022,09/15/2022
SAMSUNG SDI AMERICA INC,FIELD APPLICATIONS ENGINEER,"80,000","AUBURN HILLS, MI",07/22/2020,08/01/2020
SAMSUNG SDI AMERICA INC,FIELD APPLICATIONS ENGINEER,"89,648","AUBURN HILLS, MI",02/09/2023,07/31/2023
SAMSUNG SDI AMERICA INC,FIELD APPLICATIONS ENGINEER,"90,438","AUBURN HILLS, MI",08/25/2023,10/01/2023
SAMSUNG SDI AMERICA INC,FUNCTIONAL SAFETY ENGINEER,"92,250","AUBURN HILLS, MI",10/10/2018,11/01/2018
SAMSUNG SDI AMERICA INC,FUNCTIONAL SAFETY ENGINEER,"103,755","AUBURN HILLS, MI",07/20/2020,10/12/2020
SAMSUNG SDI AMERICA INC,LEAD ENGINEER,"104,150","AUBURN HILLS, MI",08/17/2021,11/02/2021
SAMSUNG SDI AMERICA INC,MANUFACTURING ENGINEER,"70,000","AUBURN HILLS, MI",02/21/2019,08/12/2019
SAMSUNG SDI AMERICA INC,MARKETING MANAGER,"100,000","AUBURN HILLS, MI",05/20/2021,10/01/2021
SAMSUNG SDI AMERICA INC,MARKETING MANAGER,"100,000","AUBURN HILLS, MI",04/29/2021,10/01/2021
