company,title,salary,location,submit date,start date
FORD MOTOR COMPANY,SYSTEMS INTEGRATION APPLICATIONS ENGINEER,"75,420","NOVI, MI",10/15/2021,11/01/2021
FORD MOTOR COMPANY,SYSTEMS INTEGRATION APPLICATIONS ENGINEER,"80,163","NOVI, MI",09/30/2021,11/01/2021
FORD MOTOR COMPANY,SYSTEMS INTEGRATION ENGINEER,"73,560","DEARBORN, MI",12/17/2020,01/05/2021
FORD MOTOR COMPANY,SYSTEMS INTEGRATION ENGINEER,"86,828","ALLEN PARK, MI",01/04/2021,02/08/2021
FORD MOTOR COMPANY,SYSTEMS INTEGRATION ENGINEER,"88,500","DEARBORN, MI",12/05/2022,05/10/2023
FORD MOTOR COMPANY,SYSTEMS INTEGRATION ENGINEER,"115,752","ALLEN PARK, MI",01/25/2024,01/25/2024
FORD MOTOR COMPANY,SYSTEMS INTEGRATION MANAGER,"104,314","DEARBORN, MI",02/28/2020,03/09/2020
FORD MOTOR COMPANY,SYSTEMS INTEGRATION SOFTWARE ENGINEER,"112,986","DEARBORN, MI",12/19/2023,01/03/2024
FORD MOTOR COMPANY,TAAS FULL STACK ENGINEER,"80,163","DEARBORN, MI",11/23/2021,01/03/2022
FORD MOTOR COMPANY,TECH ANCHOR - GCP SOFTWARE ENGINEER,"123,781","DEARBORN, MI",09/22/2023,10/02/2023
FORD MOTOR COMPANY,TECH EXPERT PARAMETRIC NON-PARAMETRIC OPTIMIZATION,"112,570","DEARBORN, MI",02/22/2024,03/01/2024
FORD MOTOR COMPANY,TECHNICAL EXPERT,"112,570","DEARBORN, MI",04/12/2024,09/14/2024
FORD MOTOR COMPANY,TECHNICAL EXPERT,"112,570","DEARBORN, MI",04/08/2024,09/14/2024
FORD MOTOR COMPANY,TECHNICAL EXPERT,"122,640","DEARBORN, MI",11/08/2023,11/15/2023
FORD MOTOR COMPANY,TECHNICAL EXPERT,"122,640","CUMMING, GA",09/22/2023,03/04/2024
FORD MOTOR COMPANY,TECHNICAL EXPERT - CONNECTIVITY SOFTWARE DEVELOPMENT,"146,234","SAN DIEGO, CA",11/01/2019,11/04/2019
FORD MOTOR COMPANY,TECHNICAL EXPERT - PT NVH SYSTEMS CAE,"112,507","DEARBORN, MI",12/20/2021,12/24/2021
FORD MOTOR COMPANY,TECHNICAL EXPERT â AI BASED MODELING FOR DAT,"123,960","PALO ALTO, CA",04/09/2021,04/14/2021
FORD MOTOR COMPANY,TECHNICAL EXPERT â SOFTWARE DEVELOPMENT,"139,360","SAN DIEGO, CA",06/06/2022,11/25/2022
FORD MOTOR COMPANY,TECHNICAL EXPERT â SOFTWARE DEVELOPMENT,"155,397","SAN DIEGO, CA",05/12/2023,11/07/2023
FORD MOTOR COMPANY,"TECHNICAL EXPERT, CAMERA PIPELINE","122,640","DEARBORN, MI",06/27/2023,07/05/2023
FORD MOTOR COMPANY,"TECHNICAL EXPERT, DAT SOFTWARE â MBD & CLASSIC AUTOSAR","123,781","DEARBORN, MI",12/20/2023,04/28/2024
FORD MOTOR COMPANY,"TECHNICAL EXPERT, MAPPING AND LOCALIZATION","176,075","PALO ALTO, CA",06/11/2024,10/01/2024
FORD MOTOR COMPANY,"TECHNICAL EXPERT, VEHICLE ENERGY MANAGEMENT ENGINEERING","111,966","DEARBORN, MI",02/23/2021,03/10/2021
FORD MOTOR COMPANY,"TECHNICAL LEAD - CALIBRATION, LOCALIZATION & MAPPING","148,408","ANN ARBOR, MI",08/30/2022,08/31/2022
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"75,420","HAMTRAMCK, MI",04/15/2022,04/18/2022
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"84,300","FARMINGTON, MI",08/13/2021,08/17/2021
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"92,040","DEARBORN, MI",08/05/2023,08/05/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"106,933","DEARBORN, MI",06/21/2023,06/30/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"109,980","ROCHESTER HILLS, MI",01/10/2024,01/29/2024
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"109,980","ALLEN PARK, MI",07/07/2023,12/27/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"115,752","ALLEN PARK, MI",06/13/2024,06/21/2024
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"115,752","ALLEN PARK, MI",11/09/2023,11/20/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"117,166","DEARBORN, MI",08/28/2023,08/28/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"117,166","DEARBORN, MI",03/02/2023,08/16/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"121,056","NOVI, MI",01/25/2022,02/21/2022
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER,"172,536","FREMONT, CA",05/02/2023,05/04/2023
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER - IVI&C,"109,980","NORTHVILLE, MI",01/12/2024,01/22/2024
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER - PROJECTION,"121,056","TROY, MI",11/03/2021,12/13/2021
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER - SRE,"115,752","DEARBORN, MI",03/13/2024,03/25/2024
FORD MOTOR COMPANY,TECHNICAL PRODUCT MANAGER-IN VEHICLE INFOTAINMENT AND CONN.,"95,430","NORTHVILLE, MI",06/23/2021,08/02/2021
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"62,340","ALLEN PARK, MI",11/06/2019,11/11/2019
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"94,723","ALLEN PARK, MI",07/29/2019,08/12/2019
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"95,848","FERNDALE, MI",02/11/2021,02/18/2021
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"106,850","ALLEN PARK, MI",11/07/2019,12/02/2019
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"112,736","DEARBORN, MI",06/28/2022,06/28/2022
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"115,648","LEANDER, TX",09/01/2023,02/18/2024
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"117,150","LEANDER, TX",09/02/2022,09/12/2022
FORD MOTOR COMPANY,TECHNICAL PRODUCT OWNER,"123,781","DEARBORN, MI",11/16/2023,04/15/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"79,890","DEARBORN, MI",03/23/2023,03/27/2023
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"109,980","DEARBORN, MI",06/15/2023,06/22/2023
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"115,752","ALLEN PARK, MI",06/07/2024,06/18/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"133,174","CANTON, MI",03/24/2022,04/01/2022
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"150,060","IRVINE, CA",06/17/2024,06/24/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER,"168,990","DEARBORN, MI",06/21/2024,06/24/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER - PRODUCT OWNER,"88,560","DEARBORN, MI",03/04/2020,08/20/2020
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER ENGINEER,"115,482","ALLEN PARK, MI",06/06/2019,11/13/2019
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER HIL VALIDATION,"115,752","DEARBORN, MI",03/20/2024,04/01/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER â SOFTWARE ENGINEERING,"96,366","DEARBORN, MI",04/04/2024,04/04/2024
FORD MOTOR COMPANY,TECHNICAL PROGRAM MANAGER: INFOTAINMENT SOFTWARE,"82,320","ALLEN PARK, MI",07/02/2019,07/15/2019
FORD MOTOR COMPANY,TECHNICAL PROJECT LEADER,"109,637","DEARBORN, MI",08/19/2020,01/09/2021
FORD MOTOR COMPANY,TECHNICAL PROJECT LEADER,"115,000","PALO ALTO, CA",01/22/2019,01/28/2019
FORD MOTOR COMPANY,TECHNICAL PROJECT LEADER,"116,043","PALO ALTO, CA",06/29/2022,06/29/2022
